"High School summer academy focused on STEM","Pre-college summer academy focused on STEM ","Pre-college Summer Bridge program","College career services (informational, resource focused)","College career counseling services (individual guidance)","Academic support/coaching services (e.g. study strategies, time management, test preparation)","Study partners (peer tutoring) program","Learning communities","Financial aid or loan options","Supplemental Instruction (SI)/ review sessions","Research internships in STEM","Study abroad programs","Services for students with disabilities","Graduate school career fairs","Other, please describe","High School summer academy focused on STEM","Pre-College summer academy focused on STEM ","Pre-College Summer Bridge program","Career services (informational, resource focused)","Career counseling services (individual guidance)","Academic support/coaching services (e.g. study strategies, time management, test preparation)","Study partners (peer tutoring) program","Learning communities","Financial aid or loan options","Supplemental Instruction (SI)/ review sessions","Research internships in STEM","Study abroad programs","Services for students with disabilities","Graduate school career fairs","Project Participation (Check all that apply)","Other, please describe","createdAt","formSubmissionID"
"1","1","1","N/A","N/A","5","5","3","4","5","2","2","5","3","","1","N/A","N/A","N/A","N/A","5","5","1","1","5","1","1","5","1","TAPDINTO-STEM Orientation meeting","","Mon Oct 31 2022, 5:16:25 PM","0llOnVR8DAKm4NKAbAGE"
"4","3","4","N/A","N/A","4","3","3","4","4","4","4","4","3","","4","N/A","N/A","N/A","N/A","1","4","3","3","3","1","1","4","1","TAPDINTO-STEM Orientation meeting, Monthly mentoring meetings","","Thu Sep 22 2022, 10:48:31 PM","220bmQPFSp22MTnwCC3V"
"1","1","3","5","5","5","5","5","5","5","5","5","5","4","","1","1","1","5","4","5","5","5","5","2","3","1","5","1","TAPDINTO-STEM Orientation meeting","","Thu Feb 16 2023, 3:42:30 PM","2o97aLiaXDqOTjAfMM1Q"
"1","1","1","4","4","3","4","4","4","2","2","2","4","2","","1","1","1","5","4","3","3","3","4","1","1","1","4","1","TAPDINTO-STEM Orientation meeting, Monthly mentoring meetings","","Fri Feb 17 2023, 3:09:53 PM","3PHQkmvD5HGZdBbZpLNe"
"N/A","3","N/A","N/A","N/A","5","5","5","4","N/A","2","N/A","4","N/A","","N/A","N/A","N/A","N/A","N/A","5","4","3","3","N/A","3","N/A","3","N/A","true","","Wed Aug 17 2022, 12:01:57 PM","3XYZ9AntdF87blmx1EOd"
"2","2","2","N/A","N/A","2","3","4","4","2","2","5","2","2","","1","N/A","N/A","N/A","N/A","1","1","1","5","1","1","1","1","1","TAPDINTO-STEM Orientation meeting, Monthly mentoring meetings","","Fri Nov 11 2022, 5:50:47 PM","4D75NkrUsxwcc73r2VAK"
"5","5","5","N/A","N/A","5","5","5","5","5","5","5","5","5","","5","N/A","N/A","N/A","N/A","3","3","1","1","3","4","1","5","1","TAPDINTO-STEM Orientation meeting, Monthly mentoring meetings","","Tue Dec 13 2022, 11:42:26 AM","4HT0dUt3OhhqqR0sQ0Ms"
"2","2","2","N/A","N/A","2","2","2","2","2","2","2","2","2","","1","N/A","N/A","N/A","N/A","1","2","1","2","1","1","1","1","1","TAPDINTO-STEM Orientation meeting","","Fri Nov 11 2022, 5:52:02 PM","4JmqCM5JYbll3CkMnnOt"
"1","1","1","4","3","3","5","5","5","4","4","5","5","1","","1","1","1","3","2","3","5","5","5","4","1","1","4","1","TAPDINTO-STEM Orientation meeting, Monthly mentoring meetings, Monthly peer meetings instead of weekly, true","","Tue Jan 24 2023, 8:34:25 PM","4fgskOSYFxwBSlQaeyba"
"4","4","4","N/A","N/A","4","4","4","4","4","4","4","4","4","","4","N/A","N/A","N/A","N/A","4","4","4","4","4","4","4","3","4","TAPDINTO-STEM Orientation meeting, Monthly mentoring meetings","","Tue Dec 06 2022, 8:07:04 AM","5NKBYJau3nAZwrlxIRII"
